Entity,Year,Country code,suicide rate
Afghanistan,2002,AFG,6.867054
Afghanistan,2004,AFG,6.6843853
Afghanistan,2005,AFG,6.6843853
Albania,2002,ALB,2.792918
Albania,2004,ALB,7.699329853
Albania,2005,ALB,7.699329853
Algeria,2002,DZA,3.754641
Algeria,2004,DZA,4.848769665
Algeria,2005,DZA,4.848769665
Andorra,2002,AND,5.460766
Andorra,2004,AND,5.362178802
Andorra,2005,AND,5.362178802
Angola,2002,AGO,11.94146
Angola,2004,AGO,14.55467701
Angola,2005,AGO,14.55467701
Antigua and Barbuda,2002,ATG,0.4761568
Antigua and Barbuda,2004,ATG,2.1618433
Antigua and Barbuda,2005,ATG,2.1618433
Argentina,1966,ARG,7.916583
Argentina,1967,ARG,9.915176
Argentina,1968,ARG,10.74287
Argentina,1969,ARG,10.48032
Argentina,1970,ARG,10.29312
Argentina,1977,ARG,7.778694
Argentina,1978,ARG,7.920763
Argentina,1979,ARG,6.838789
Argentina,1980,ARG,7.482319
Argentina,1981,ARG,8.257092
Argentina,1982,ARG,7.042588
Argentina,1983,ARG,6.405541
Argentina,1984,ARG,6.581609
Argentina,1985,ARG,6.916961
Argentina,1986,ARG,7.883313
Argentina,1987,ARG,7.797068
Argentina,1988,ARG,7.753856
Argentina,1989,ARG,7.32608
Argentina,1990,ARG,6.826613
Argentina,1991,ARG,6.151737
Argentina,1992,ARG,6.862964
Argentina,1993,ARG,6.864534
Argentina,1994,ARG,6.766797
Argentina,1995,ARG,6.497159
Argentina,1996,ARG,6.521007
Argentina,1997,ARG,6.404548
Argentina,1998,ARG,6.571886
Argentina,1999,ARG,6.705275
Argentina,2000,ARG,7.578039
Argentina,2001,ARG,8.426514
Argentina,2002,ARG,8.399384
Argentina,2003,ARG,8.574696
Argentina,2004,ARG,8.045732
Argentina,2005,ARG,7.765584
Armenia,2002,ARM,3.223157
Armenia,2004,ARM,3.741587877
Armenia,2005,ARM,3.741587877
Australia,1950,AUS,9.11394
Australia,1951,AUS,9.414491
Australia,1952,AUS,10.52931
Australia,1953,AUS,10.77947
Australia,1954,AUS,10.70571
Australia,1955,AUS,10.29923
Australia,1956,AUS,10.83826
Australia,1957,AUS,12.24532
Australia,1958,AUS,12.51539
Australia,1959,AUS,11.26922
Australia,1960,AUS,10.84956
Australia,1961,AUS,12.21164
Australia,1962,AUS,14.19252
Australia,1963,AUS,16.3551
Australia,1964,AUS,15.12317
Australia,1965,AUS,15.43313
Australia,1966,AUS,14.58644
Australia,1967,AUS,15.65878
Australia,1968,AUS,13.19256
Australia,1969,AUS,12.76834
Australia,1970,AUS,12.83559
Australia,1971,AUS,14.15584
Australia,1972,AUS,13.0239
Australia,1973,AUS,12.02608
Australia,1974,AUS,12.06323
Australia,1975,AUS,11.39783
Australia,1976,AUS,11.01759
Australia,1977,AUS,11.29412
Australia,1978,AUS,11.27129
Australia,1979,AUS,11.64795
Australia,1980,AUS,10.9455
Australia,1981,AUS,11.08437
Australia,1982,AUS,11.35668
Australia,1983,AUS,10.6924
Australia,1984,AUS,10.94829
Australia,1985,AUS,11.36893
Australia,1986,AUS,12.27354
Australia,1987,AUS,12.67795
Australia,1988,AUS,12.457
Australia,1989,AUS,11.61991
Australia,1990,AUS,12.21795
Australia,1991,AUS,12.50919
Australia,1992,AUS,12.13431
Australia,1993,AUS,10.8313
Australia,1994,AUS,12.03813
Australia,1995,AUS,11.34692
Australia,1996,AUS,12.44981
Australia,1997,AUS,13.50883
Australia,1998,AUS,13.31107
Australia,1999,AUS,12.37532
Australia,2000,AUS,11.69399
Australia,2001,AUS,11.84839
Australia,2002,AUS,11.03015
Australia,2003,AUS,10.10695
Australia,2004,AUS,9.656323
Australia,2005,AUS,8.470030125
Austria,1955,AUT,20.5962
Austria,1956,AUT,19.92693
Austria,1957,AUT,20.9564
Austria,1958,AUT,20.79216
Austria,1959,AUT,21.81896
Austria,1960,AUT,20.19164
Austria,1961,AUT,19.24125
Austria,1962,AUT,19.71283
Austria,1963,AUT,19.32392
Austria,1964,AUT,19.99342
Austria,1965,AUT,20.16066
Austria,1966,AUT,20.39829
Austria,1967,AUT,19.63787
Austria,1968,AUT,19.63363
Austria,1969,AUT,20.016
Austria,1970,AUT,21.93183
Austria,1971,AUT,20.31294
Austria,1972,AUT,20.87694
Austria,1973,AUT,19.62877
Austria,1974,AUT,21.15685
Austria,1975,AUT,21.48004
Austria,1976,AUT,20.11514
Austria,1977,AUT,21.48151
Austria,1978,AUT,22.21951
